Experiment ID,Library ID,Gene ID,Gene name,Expression level,Expression level unit,Read count,UMI count,Expression p-value,Anat. entity ID,Anat. entity name,Stage ID,Stage name,Sex,Strain,Species
GSE30611,ERX011207,ENSG00000023330,ALAS1,35.250202,TPM,2038.002,0,9.96E-11,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011208,ENSG00000023330,ALAS1,24.540541,TPM,2943.000012,0,8.31E-10,CL:0000738,leukocyte,HsapDv:0000152,58-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011209,ENSG00000023330,ALAS1,37.738287,TPM,2120.99981,0,2.62E-11,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011210,ENSG00000023330,ALAS1,73.957712,TPM,5431.0045,0,<= 8.87e-18,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011211,ENSG00000023330,ALAS1,176.285771,TPM,19060.964,0,<= 1.07e-18,UBERON:0002107,liver,HsapDv:0000131,37-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011212,ENSG00000023330,ALAS1,24.066737,TPM,3217.996797,0,1.52E-10,UBERON:0001134,skeletal muscle tissue,HsapDv:0000171,77-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011213,ENSG00000023330,ALAS1,27.105918,TPM,2631.9978,0,1.13E-11,UBERON:0002046,thyroid gland,HsapDv:0000154,60-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011214,ENSG00000023330,ALAS1,27.361395,TPM,2903.003,0,4.93E-12,UBERON:0002367,prostate gland,HsapDv:0000167,73-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011215,ENSG00000023330,ALAS1,25.913231,TPM,2833.995,0,3.77E-14,UBERON:0001013,adipose tissue,HsapDv:0000167,73-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011216,ENSG00000023330,ALAS1,49.05416,TPM,4056.005,0,<= 4.02e-17,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011217,ENSG00000023330,ALAS1,17.958227,TPM,2150.99783,0,1.45E-08,UBERON:0002369,adrenal gland,HsapDv:0000154,60-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011218,ENSG00000023330,ALAS1,38.610362,TPM,2098.9956,0,2.45E-11,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011219,ENSG00000023330,ALAS1,40.999868,TPM,3811.0021,0,2.61E-12,UBERON:0000082,adult mammalian kidney,HsapDv:0000154,60-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011220,ENSG00000023330,ALAS1,22.891578,TPM,2847.995,0,2.29E-12,UBERON:0001013,adipose tissue,HsapDv:0000167,73-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011221,ENSG00000023330,ALAS1,36.012093,TPM,2052.0032,0,4.75E-11,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011222,ENSG00000023330,ALAS1,38.941143,TPM,4412.00208,0,7.15E-13,UBERON:0002048,lung,HsapDv:0000159,65-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011223,ENSG00000023330,ALAS1,76.307608,TPM,5546.0054,0,<= 9.50e-18,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011224,ENSG00000023330,ALAS1,43.039125,TPM,3879.9974,0,<= 7.95e-17,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011225,ENSG00000023330,ALAS1,25.626926,TPM,3011.002,0,6.46E-11,UBERON:0005200,thoracic mammary gland,HsapDv:0000123,29-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011226,ENSG00000023330,ALAS1,48.151484,TPM,3906.00451,0,<= 6.86e-17,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011227,ENSG00000023330,ALAS1,37.525485,TPM,4183.9937,0,7.14E-12,UBERON:0002048,lung,HsapDv:0000159,65-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011228,ENSG00000023330,ALAS1,30.653506,TPM,3216.002,0,3.88E-11,UBERON:0001134,skeletal muscle tissue,HsapDv:0000171,77-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011229,ENSG00000023330,ALAS1,157.462359,TPM,20110.0145,0,<= 1.29e-17,UBERON:0002107,liver,HsapDv:0000131,37-year-old stage (human),male,White,Homo sapiens
ERP000787,ERX016338,ENSG00000023330,ALAS1,30.856991,TPM,596.0002,0,<= 2.05e-18,UBERON:0002107,liver,UBERON:0000113,post-juvenile,male,NA,Homo sapiens
ERP000787,ERX016354,ENSG00000023330,ALAS1,30.382924,TPM,356.00002,0,3.77E-08,UBERON:0002107,liver,UBERON:0000113,post-juvenile,male,NA,Homo sapiens
ERP000787,ERX016362,ENSG00000023330,ALAS1,40.171853,TPM,626.9994,0,<= 7.95e-17,UBERON:0002107,liver,UBERON:0000113,post-juvenile,male,NA,Homo sapiens
ERP014610,ERX1403313,ENSG00000023330,ALAS1,62.44995,TPM,15265.99716,0,4.22E-13,UBERON:0002107,liver,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP014610,ERX1403333,ENSG00000023330,ALAS1,51.0863,TPM,7630.0013,0,1.07E-12,UBERON:0002107,liver,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288473,ENSG00000023330,ALAS1,30.934103,TPM,801.000214,0,<= 5.51e-17,UBERON:0001155,colon,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288474,ENSG00000023330,ALAS1,18.092255,TPM,287.00031,0,2.76E-12,UBERON:0000014,zone of skin,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288475,ENSG00000023330,ALAS1,22.534474,TPM,136.0001,0,1.17E-13,UBERON:0001013,adipose tissue,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288476,ENSG00000023330,ALAS1,25.446992,TPM,446.00007,0,<= 1.94e-15,UBERON:0000082,adult mammalian kidney,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288477,ENSG00000023330,ALAS1,28.147016,TPM,572.0004,0,<= 1.67e-19,UBERON:0001043,esophagus,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288478,ENSG00000023330,ALAS1,29.001066,TPM,367.99992,0,1.41E-13,UBERON:0000029,lymph node,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288479,ENSG00000023330,ALAS1,18.258945,TPM,193,0,2.92E-14,UBERON:0001295,endometrium,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288480,ENSG00000023330,ALAS1,28.641009,TPM,354.0001,0,1.04E-14,UBERON:0001154,vermiform appendix,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288481,ENSG00000023330,ALAS1,549.618845,TPM,4689.99451,0,<= 3.91e-28,UBERON:0002107,liver,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288482,ENSG00000023330,ALAS1,39.074647,TPM,548.0002,0,<= 1.76e-18,UBERON:0002110,gall bladder,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288483,ENSG00000023330,ALAS1,18.56792,TPM,353.9996,0,<= 2.47e-16,UBERON:0000029,lymph node,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288484,ENSG00000023330,ALAS1,54.945864,TPM,1265.00039,0,<= 1.81e-17,UBERON:0002371,bone marrow,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288485,ENSG00000023330,ALAS1,20.178139,TPM,360.9999,0,4.97E-11,UBERON:0000014,zone of skin,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288486,ENSG00000023330,ALAS1,32.798658,TPM,734.9995,0,<= 2.39e-18,UBERON:0001043,esophagus,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288487,ENSG00000023330,ALAS1,51.433514,TPM,752.0001,0,<= 2.36e-19,UBERON:0002108,small intestine,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288488,ENSG00000023330,ALAS1,11.805169,TPM,268.0001,0,2.77E-13,UBERON:0000992,ovary,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288489,ENSG00000023330,ALAS1,36.041871,TPM,388.9996,0,<= 1.40e-16,UBERON:0001154,vermiform appendix,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288490,ENSG00000023330,ALAS1,19.643631,TPM,672.0005,0,3.87E-14,UBERON:0001013,adipose tissue,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288491,ENSG00000023330,ALAS1,55.173842,TPM,579.0005,0,<= 2.02e-19,UBERON:0002048,lung,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288492,ENSG00000023330,ALAS1,19.615747,TPM,519.9996,0,<= 2.58e-17,UBERON:0001044,saliva-secreting gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288493,ENSG00000023330,ALAS1,11.168323,TPM,262.0004,0,5.72E-13,UBERON:0000992,ovary,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288494,ENSG00000023330,ALAS1,38.028157,TPM,895.99961,0,<= 1.67e-18,UBERON:0000945,stomach,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288495,ENSG00000023330,ALAS1,11.153263,TPM,484.0005,0,<= 8.57e-18,UBERON:0001044,saliva-secreting gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288496,ENSG00000023330,ALAS1,68.933091,TPM,1243.9995,0,<= 3.42e-20,UBERON:0002048,lung,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288497,ENSG00000023330,ALAS1,20.07217,TPM,307.9995,0,<= 5.68e-17,UBERON:0001013,adipose tissue,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288498,ENSG00000023330,ALAS1,383.049435,TPM,5212.0039,0,<= 1.00e-30,UBERON:0002369,adrenal gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288499,ENSG00000023330,ALAS1,27.984916,TPM,299.9997,0,7.82E-14,UBERON:0000029,lymph node,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288500,ENSG00000023330,ALAS1,16.940382,TPM,264,0,1.20E-11,UBERON:0000029,lymph node,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288501,ENSG00000023330,ALAS1,44.672343,TPM,429.00021,0,9.96E-12,UBERON:0000473,testis,UBERON:0000113,post-juvenile,male,NA,Homo sapiens
ERP003613,ERX288502,ENSG00000023330,ALAS1,33.43624,TPM,561.9998,0,<= 1.52e-16,UBERON:0002108,small intestine,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288503,ENSG00000023330,ALAS1,32.249728,TPM,755.0002,0,<= 5.50e-18,UBERON:0001043,esophagus,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288504,ENSG00000023330,ALAS1,17.227197,TPM,451.0003,0,<= 2.49e-20,UBERON:0001044,saliva-secreting gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288505,ENSG00000023330,ALAS1,20.355964,TPM,194.0003,0,5.65E-14,UBERON:0001295,endometrium,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288506,ENSG00000023330,ALAS1,26.941941,TPM,222.9997,0,<= 2.17e-16,UBERON:0001295,endometrium,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288507,ENSG00000023330,ALAS1,34.532726,TPM,511.0002,0,<= 3.07e-16,UBERON:0002108,small intestine,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288508,ENSG00000023330,ALAS1,18.294025,TPM,112.00007,0,5.11E-13,UBERON:0001013,adipose tissue,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288509,ENSG00000023330,ALAS1,386.069724,TPM,12850.99483,0,<= 4.90e-27,UBERON:0002107,liver,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288510,ENSG00000023330,ALAS1,31.133558,TPM,602.99988,0,<= 3.84e-20,UBERON:0001043,esophagus,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288511,ENSG00000023330,ALAS1,17.982197,TPM,228.99984,0,<= 6.16e-16,UBERON:0000029,lymph node,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288512,ENSG00000023330,ALAS1,28.746134,TPM,1171.00045,0,2.11E-09,UBERON:0000473,testis,UBERON:0000113,post-juvenile,male,NA,Homo sapiens
ERP003613,ERX288513,ENSG00000023330,ALAS1,24.126619,TPM,562.999795,0,<= 3.41e-17,UBERON:0002367,prostate gland,UBERON:0000113,post-juvenile,male,NA,Homo sapiens
ERP003613,ERX288514,ENSG00000023330,ALAS1,34.154793,TPM,259.00012,0,<= 6.58e-19,UBERON:0002110,gall bladder,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288515,ENSG00000023330,ALAS1,33.767279,TPM,412.00008,0,<= 5.25e-18,UBERON:0002046,thyroid gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288516,ENSG00000023330,ALAS1,33.181261,TPM,832.00043,0,<= 2.45e-17,UBERON:0000945,stomach,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288517,ENSG00000023330,ALAS1,141.414873,TPM,2309.99708,0,<= 1.17e-15,UBERON:0002371,bone marrow,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288518,ENSG00000023330,ALAS1,40.573706,TPM,645.999394,0,<= 3.46e-17,UBERON:0001987,placenta,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288519,ENSG00000023330,ALAS1,16.506085,TPM,225.00028,0,<= 1.52e-15,UBERON:0000029,lymph node,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288520,ENSG00000023330,ALAS1,32.973527,TPM,548.0004,0,<= 1.56e-16,UBERON:0002108,small intestine,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288521,ENSG00000023330,ALAS1,30.710785,TPM,636.0004,0,<= 5.10e-19,UBERON:0001043,esophagus,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288522,ENSG00000023330,ALAS1,17.332839,TPM,267.00024,0,1.66E-13,UBERON:0002106,spleen,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288523,ENSG00000023330,ALAS1,32.898349,TPM,487.99993,0,<= 6.94e-16,UBERON:0002108,small intestine,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288524,ENSG00000023330,ALAS1,27.633736,TPM,355.9997,0,2.00E-14,UBERON:0002367,prostate gland,UBERON:0000113,post-juvenile,male,NA,Homo sapiens
ERP003613,ERX288525,ENSG00000023330,ALAS1,38.064245,TPM,526.999874,0,<= 4.05e-18,UBERON:0002110,gall bladder,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288526,ENSG00000023330,ALAS1,67.415251,TPM,1682.99892,0,<= 5.79e-24,UBERON:0000948,heart,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288527,ENSG00000023330,ALAS1,36.782956,TPM,1035.999648,0,<= 9.21e-18,UBERON:0001013,adipose tissue,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288528,ENSG00000023330,ALAS1,58.393199,TPM,609.9996,0,<= 1.88e-23,UBERON:0001255,urinary bladder,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288529,ENSG00000023330,ALAS1,373.807448,TPM,5245.9984,0,<= 1.00e-30,UBERON:0002369,adrenal gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288530,ENSG00000023330,ALAS1,144.872342,TPM,2240.0032,0,<= 6.41e-16,UBERON:0002371,bone marrow,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288531,ENSG00000023330,ALAS1,66.738874,TPM,1213.0001,0,<= 1.09e-19,UBERON:0002048,lung,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288532,ENSG00000023330,ALAS1,44.196372,TPM,610.99955,0,<= 1.16e-17,UBERON:0002114,duodenum,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288533,ENSG00000023330,ALAS1,812.256042,TPM,10074.0024,0,<= 0,UBERON:0002369,adrenal gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288534,ENSG00000023330,ALAS1,10.55032,TPM,463.9996,0,<= 1.63e-17,UBERON:0001044,saliva-secreting gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288535,ENSG00000023330,ALAS1,48.297648,TPM,1051.9999,0,<= 6.63e-20,UBERON:0001155,colon,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288536,ENSG00000023330,ALAS1,59.06973,TPM,1297.0003,0,<= 1.60e-25,UBERON:0000948,heart,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288537,ENSG00000023330,ALAS1,30.933218,TPM,596.0003,0,<= 8.89e-18,UBERON:0002110,gall bladder,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288538,ENSG00000023330,ALAS1,16.099841,TPM,323.9997,0,<= 1.95e-15,UBERON:0000992,ovary,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288539,ENSG00000023330,ALAS1,39.485453,TPM,664.99962,0,<= 1.29e-16,UBERON:0001987,placenta,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288540,ENSG00000023330,ALAS1,52.023973,TPM,1230.99992,0,<= 5.17e-17,UBERON:0002371,bone marrow,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288541,ENSG00000023330,ALAS1,67.648856,TPM,1236.9997,0,<= 7.36e-24,UBERON:0001987,placenta,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288542,ENSG00000023330,ALAS1,3.018456,TPM,93.9999,0,5.67E-13,UBERON:0001264,pancreas,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288543,ENSG00000023330,ALAS1,19.366872,TPM,579.00005,0,6.21E-12,UBERON:0002106,spleen,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288544,ENSG00000023330,ALAS1,37.853895,TPM,1699.99942,0,5.33E-12,UBERON:0000473,testis,UBERON:0000113,post-juvenile,male,NA,Homo sapiens
ERP003613,ERX288545,ENSG00000023330,ALAS1,20.685913,TPM,310.0003,0,1.61E-12,UBERON:0000029,lymph node,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288546,ENSG00000023330,ALAS1,28.269079,TPM,349.99974,0,6.54E-14,UBERON:0002367,prostate gland,UBERON:0000113,post-juvenile,male,NA,Homo sapiens
ERP003613,ERX288547,ENSG00000023330,ALAS1,828.412024,TPM,11822.00551,0,<= 0,UBERON:0002369,adrenal gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288548,ENSG00000023330,ALAS1,22.332262,TPM,189.9997,0,<= 1.32e-15,UBERON:0001295,endometrium,UBERON:0000113,post-juvenile,female,NA,Homo sapiens
ERP003613,ERX288549,ENSG00000023330,ALAS1,53.588527,TPM,1419,0,<= 2.74e-24,UBERON:0000948,heart,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288550,ENSG00000023330,ALAS1,70.60404,TPM,1198.99975,0,<= 7.04e-19,UBERON:0002110,gall bladder,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288551,ENSG00000023330,ALAS1,70.337778,TPM,1669.00443,0,<= 6.57e-17,UBERON:0002371,bone marrow,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288552,ENSG00000023330,ALAS1,25.312713,TPM,377.9998,0,5.22E-13,UBERON:0000029,lymph node,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288553,ENSG00000023330,ALAS1,36.476477,TPM,456.000337,0,<= 5.20e-20,UBERON:0001155,colon,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288554,ENSG00000023330,ALAS1,174.814007,TPM,3978.00262,0,<= 1.12e-24,UBERON:0002107,liver,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288555,ENSG00000023330,ALAS1,35.2498,TPM,495.0002,0,<= 6.35e-18,UBERON:0002114,duodenum,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288556,ENSG00000023330,ALAS1,43.184579,TPM,546.99978,0,<= 1.26e-15,UBERON:0002046,thyroid gland,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288557,ENSG00000023330,ALAS1,60.389697,TPM,1341.0003,0,<= 3.17e-21,UBERON:0001255,urinary bladder,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288558,ENSG00000023330,ALAS1,54.699724,TPM,2094.0005,0,<= 1.52e-19,UBERON:0001155,colon,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288559,ENSG00000023330,ALAS1,33.868175,TPM,368.000381,0,<= 3.02e-16,UBERON:0001154,vermiform appendix,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288560,ENSG00000023330,ALAS1,33.40994,TPM,412.99945,0,<= 4.10e-15,UBERON:0000029,lymph node,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
ERP003613,ERX288561,ENSG00000023330,ALAS1,40.046279,TPM,1041.9988,0,<= 2.18e-15,UBERON:0000956,cerebral cortex,UBERON:0000113,post-juvenile,NA,NA,Homo sapiens
