Strain_Encoded,Expression level,Read count,Expression_Level_Actual,Expression_Level_Predicted
2,0.29064751175969716,0.7252178916271439,High,High
2,0.16898560813277283,0.22085866402479867,Medium,Medium
2,0.21870841988753498,0.3790764199399897,High,High
2,0.16575995773968244,0.4497905166695801,High,High
2,0.0849783892753545,0.13141737363563957,Low,Low
2,0.12147485332882409,0.14207302704429556,Medium,Medium
2,0.33859632585552657,0.11785593454518534,High,High
2,0.07772626894368506,0.14288007241587228,Low,Low
2,0.21089241945048479,0.08346789148184199,Medium,Medium
2,0.7386194499068021,0.371487993899646,High,High
2,0.181456680652026,0.25508545267960236,High,High
2,0.02968440548081416,0.030997782176729185,Low,Low
2,0.10530316926290495,0.0786245149581176,Low,Low
2,0.33293695115114214,0.27704221303670395,High,High
2,0.0842036854565824,0.591701532121111,High,High
2,0.03762128068982819,0.08734264371792483,Low,Low
2,0.5783589675181163,0.11704876647424606,High,High
2,0.03564338691267863,0.5682925117935077,High,Medium
2,0.10167313030467198,0.058605122646730935,Low,Low
2,0.28850498172257255,0.3358086853454273,High,High
2,0.5871470794803723,0.593315826286892,High,High
2,0.19826374283390574,0.08362928215125287,Medium,Medium
2,0.09772350177461164,0.16176942297008273,Medium,Medium
2,0.06466375756118903,0.5332578705344779,High,Medium
2,0.14099169272588338,0.17662242299856173,Medium,Medium
2,0.20135849566261696,0.37052036089369816,High,High
2,0.31777365829565163,0.7294165845495799,High,High
2,0.6145991262352299,0.5169513964575919,High,High
2,0.3060762805190432,0.40862149009593346,High,High
2,0.13348710991253984,0.22424932691327215,Medium,Medium
2,0.08782029272273668,0.04116886512711681,Low,Low
2,0.31733883536710183,0.21310933875828106,High,High
2,0.16058152544840582,0.09476914534662988,Medium,Medium
2,0.0007936148465066096,0.08217637897777601,Low,Low
2,0.14748259844297038,0.05311598906374112,Low,Low
2,0.12874660620380102,0.17194058664373527,Medium,Medium
2,0.5208441692467859,0.436873583427785,High,High
2,0.08966113513964197,0.14191137709175772,Low,Low
2,0.13603426379162498,0.3517920855423793,High,High
2,0.0035253198610550067,0.005166289280021405,Low,Low
2,0.0979791117372634,0.018404901180839123,Low,Low
2,0.15063156427875307,0.0876654980305783,Low,Low
2,0.18842520353653663,0.04875683588824608,Low,Low
2,0.3527837009297453,0.1472392430275924,High,High
2,0.3582002019898528,0.1254439860295795,High,High
2,0.15596844766389775,0.21795278308954805,Medium,Medium
2,0.07894483032079035,0.019050690529410646,Low,Low
2,0.18897841775953464,0.06990631516183736,Medium,Medium
2,0.3187084287757702,0.2954471603912507,High,High
2,0.15282229992154872,0.07313537007387069,Low,Low
2,0.3086091191108911,0.30997743429562136,High,High
2,0.12177956294905186,0.10009680011040356,Low,Low
2,0.04872831756167351,0.20923475119765877,Medium,Medium
2,0.34460671788615066,0.3264448027552851,High,High
2,0.10100848898101672,0.319825611270466,High,Medium
2,0.2681632774893,0.11995478786797754,Medium,Medium
2,0.0781076422077259,0.09024869094310123,Low,Low
2,0.13274824659559797,0.23038419818194397,Medium,Medium
2,0.23808812427037035,0.3419442540631085,High,High
2,0.15134449486205856,0.18114300171591816,Medium,Medium
2,0.05764181115403769,0.040846036645908274,Low,Low
2,0.1145219475966061,0.1837260380253072,Medium,Medium
2,0.3484130628344956,0.13012601612024224,High,High
2,0.062250429135765006,0.10300282311860054,Low,Low
2,0.3000928512116779,0.24749756264173803,High,High
2,0.10349153254158339,0.18566348517982179,Medium,Medium
2,0.1827064188216056,0.013722940027844945,Low,Low
2,0.17646101662077499,0.19405876124144109,Medium,Medium
2,0.01963934542162248,0.07474972720379826,Low,Low
2,0.35294314541461935,0.1982562902958429,High,High
2,0.4423034347022105,0.07491130289093233,High,High
2,0.12694969258286623,0.29028081234469255,Medium,Medium
2,0.003966918761941899,0.02873747102276955,Low,Low
2,0.15721801852551856,0.054730309060966646,Low,Low
2,0.05350474019784853,0.14982233939509088,Low,Low
2,0.1870411902731564,0.12722004316046925,Medium,Medium
2,0.36696515225654275,0.11042953947119016,High,High
2,0.2476102319336379,0.1567645643982115,Medium,Medium
2,0.11245794250433733,0.1317404975639979,Medium,Low
2,0.3312038341463027,0.10994507072423536,High,High
2,0.2940224897345194,0.311591560557011,High,High
2,0.20157325111304356,0.058120686189082234,Medium,Medium
2,0.1420508932720934,0.17484648485376456,Medium,Medium
2,0.15713388876403808,0.010655467906593195,Low,Low
2,0.1709453594531241,0.2631579083323392,High,High
2,0.14673109814675425,0.0891184199318526,Low,Low
2,0.182764631534571,0.17484648695256938,Medium,Medium
2,0.3101218758486793,0.6352930638760613,High,High
2,0.053361676207829695,0.0679689729475674,Low,Low
2,0.03349997850876953,0.17549231343384292,Low,Low
2,0.13850753552171471,0.10962234556880593,Medium,Medium
2,0.07307328821096912,0.1679044960469171,Medium,Low
2,0.1401121809275796,0.03454950896683686,Low,Low
2,0.0820172945923456,0.24636737235375397,Medium,Medium
2,0.08316534089312928,0.15353560151070014,Low,Low
2,0.008329243742981607,0.12043915974701437,Low,Low
2,0.16346153851181094,0.10768487726479592,Medium,Medium
2,0.3436734165790463,0.4213749102922355,High,High
2,0.35720627768949975,0.8272520192601835,High,High
2,0.23961371666563386,0.094930511153275,Medium,Medium
2,0.10180810077217652,0.08249911220553179,Low,Low
2,0.34534271082592205,0.13012578686616982,High,High
2,0.15548431071444904,0.2531480555735118,Medium,Medium
2,0.3349814073540826,0.13577649613629372,High,High
2,0.07477568329184738,0.19728775641825816,Medium,Medium
2,0.27687582899459756,0.3296738657396451,High,High
2,0.3352489170953142,0.2541169510913237,High,High
2,0.37127012197790654,0.14126561680356123,High,High
2,0.028332400321329484,0.023894120330489786,Low,Low
2,0.14707795891588893,0.13739098888130646,Medium,Medium
2,0.09414280297914585,0.04940257680285879,Low,Low
2,0.11706829630613863,0.02050372544325627,Low,Low
2,0.19907761240019226,0.21117206112262296,Medium,Medium
2,0.0381656380477493,0.03422672891958746,Low,Low
2,0.10821476170356155,0.2407166630836301,Medium,Medium
2,0.03667833303321569,0.2308685539163278,Medium,Medium
2,0.07498378825090606,0.42121414183775113,High,High
2,0.21742598346872916,0.35227643643336715,High,High
2,0.15367452483742297,0.40345485887216154,High,High
2,0.07060728392034603,0.08136906721942516,Low,Low
2,0.2262527069708853,0.3781077246158751,High,High
2,0.1415666360700491,0.0453664829771099,Low,Low
2,0.20111904660312474,0.3374225371477165,High,High
2,0.2557231255722095,0.6533749137794808,High,High
2,0.1306743546486304,0.16532119819414953,Medium,Medium
